#wave	trans
0.4745	0.101616859
0.475	0.122275144
0.4755	0.144862622
0.476	0.176821649
0.4765	0.215652958
0.477	0.26193523399999996
0.4775	0.317661643
0.478	0.386366218
0.4785	0.47476729799999995
0.479	0.578332484
0.4795	0.7108396290000001
0.48	0.8725535870000001
0.4805	1.0647529359999999
0.481	1.307706118
0.4815	1.5958571430000001
0.482	1.943384171
0.4825	2.3707547190000002
0.483	2.872772217
0.4835	3.464089632
0.484	4.167230606
0.4845	4.966032505
0.485	5.919353485
0.4855	6.992929459
0.486	8.217963219
0.4865	9.620521545
0.487	11.14160156
0.4875	12.81472301
0.488	14.71142292
0.4885	16.69654846
0.489	18.89259338
0.4895	21.20778275
0.49	23.62485313
0.4905	26.18263626
0.491	28.77396965
0.4915	31.42494202
0.492	34.22417831
0.4925	36.95867538
0.493	39.77479172
0.4935	42.55845261
0.494	45.28088379
0.4945	48.06955719
0.495	50.73743439
0.4955	53.31735611
0.496	55.95597076
0.4965	58.34102631
0.497	60.68194962
0.4975	62.98374557
0.498	65.14392853
0.4985	67.26944733
0.499	69.21595001
0.4995	71.08501434
0.5	72.84253693
0.5005	74.46763611
0.501	75.99686432
0.5015	77.43934631
0.502	78.80669403
0.5025	80.06488037
0.503	81.2434845
0.5035	82.32234192
0.504	83.38137054
0.5045	84.29095459
0.505	85.16732788
0.5055	86.01041412
0.506	86.71925354
0.5065	87.42018890000001
0.507	88.03078461
0.5075	88.63916779
0.508	89.17706299
0.5085	89.6638031
0.509	90.10810089
0.5095	90.5133667
0.51	90.90045166
0.5105	91.24517822
0.511	91.5404129
0.5115	91.85337067
0.512	92.12495422
0.5125	92.34123993
0.513	92.57933807
0.5135	92.79024506
0.514	92.96917725
0.5145	93.11759186
0.515	93.25953674
0.5155	93.38522339
0.516	93.50623322
0.5165	93.60092926
0.517	93.69736481
0.5175	93.76205444
0.518	93.84767151
0.5185	93.89930725
0.519	93.93641663
0.5195	93.98028564
0.52	94.04483795
0.5205	94.07440186
0.521	94.10150146
0.5215	94.12832642
0.522	94.11099243
0.5225	94.10169983
0.523	94.09174347
0.5235	94.09336853
0.524	94.08493042
0.5245	94.03474426
0.525	93.98947144
0.5255	93.98835754
0.526	93.94245911
0.5265	93.90195465
