#LAM	TRANSMISSION
0.885	0.0001
0.89	0.0009
0.895	0.0044
0.9	0.0178
0.905	0.0594
0.91	0.1639
0.915	0.3771
0.92	0.7298
0.925	1.2022
0.93	1.7158
0.935	2.169
0.94	2.4908
0.945	2.6763
0.95	2.7617
0.955	2.7932
0.96	2.8025
0.965	2.8019
0.97	2.8006
0.975	2.797
0.98	2.7948
0.985	2.7912
0.99	2.7872
0.995	2.785
1.0	2.7816
1.005	2.7799
1.01	2.7784
1.015	2.777
1.02	2.7757
1.025	2.7745
1.03	2.7735
1.035	2.7711
1.04	2.7706
1.045	2.7701
1.05	2.7699
1.055	2.77
1.06	2.7703
1.065	2.7708
1.07	2.7715
1.075	2.7723
1.08	2.7732
1.085	2.7756
1.09	2.7763
1.095	2.7771
1.1	2.7792
1.105	2.7778
1.11	2.7778
1.115	2.7791
1.12	2.7803
1.125	2.78
1.13	2.7815
1.135	2.7822
1.14	2.783
1.145	2.7833
1.15	2.7852
1.155	2.786
1.16	2.787
1.165	2.7896
1.17	2.791
1.175	2.7939
1.18	2.7969
1.185	2.7984
1.19	2.8016
1.195	2.8049
1.2	2.8064
1.205	2.8083
1.21	2.8119
1.215	2.8156
1.22	2.8176
1.225	2.8208
1.23	2.8242
1.235	2.8265
1.24	2.8285
1.245	2.831
1.25	2.8313
1.255	2.8324
1.26	2.8327
1.265	2.8321
1.27	2.8312
1.275	2.8309
1.28	2.8305
1.285	2.8286
1.29	2.8285
1.295	2.8279
1.3	2.8276
1.305	2.8288
1.31	2.8287
1.315	2.8304
1.32	2.8323
1.325	2.8328
1.33	2.8353
1.335	2.8379
1.34	2.839
1.345	2.8417
1.35	2.8448
1.355	2.8467
1.36	2.8503
1.365	2.8526
1.37	2.8563
1.375	2.8602
1.38	2.8623
1.385	2.8665
1.39	2.869
1.395	2.8705
1.4	2.8715
1.405	2.8708
1.41	2.8697
1.415	2.8689
1.42	2.8696
1.425	2.872
1.43	2.873
1.435	2.8748
1.44	2.8749
1.445	2.8736
1.45	2.8743
1.455	2.8755
1.46	2.8764
1.465	2.877
1.47	2.8776
1.475	2.8792
1.48	2.8792
1.485	2.8808
1.49	2.8812
1.495	2.8831
1.5	2.8837
1.505	2.8841
1.51	2.8863
1.515	2.8878
1.52	2.8894
1.525	2.892
1.53	2.8928
1.535	2.8954
1.54	2.898
1.545	2.8999
1.55	2.9019
1.555	2.9034
1.56	2.9049
1.565	2.9058
1.57	2.9081
1.575	2.9092
1.58	2.9104
1.585	2.9125
1.59	2.915
1.595	2.9182
1.6	2.9222
1.605	2.9261
1.61	2.9304
1.615	2.9342
1.62	2.9383
1.625	2.9439
1.63	2.9496
1.635	2.9537
1.64	2.9576
1.645	2.9612
1.65	2.9645
1.655	2.9686
1.66	2.9705
1.665	2.9739
1.67	2.977
1.675	2.9784
1.68	2.9797
1.685	2.9823
1.69	2.9835
1.695	2.9844
1.7	2.9872
1.705	2.99
1.71	2.9928
1.715	2.995
1.72	2.9984
1.725	3.0002
1.73	3.0018
1.735	3.0038
1.74	3.0055
1.745	3.0057
1.75	3.0073
1.755	3.0056
1.76	3.0051
1.765	3.0025
1.77	2.9996
1.775	2.9965
1.78	2.9934
1.785	2.9921
1.79	2.9893
1.795	2.987
1.8	2.9839
1.805	2.982
1.81	2.9825
1.815	2.9811
1.82	2.9829
1.825	2.9843
1.83	2.9859
1.835	2.9877
1.84	2.9895
1.845	2.9913
1.85	2.993
1.855	2.9945
1.86	2.996
1.865	2.9992
1.87	3.0005
1.875	3.0034
1.88	3.0045
1.885	3.0054
1.89	3.0046
1.895	3.0049
1.9	3.0048
1.905	3.0041
1.91	3.0045
1.915	3.0028
1.92	3.0006
1.925	2.9992
1.93	2.9951
1.935	2.9904
1.94	2.9825
1.945	2.9717
1.95	2.9509
1.955	2.9186
1.96	2.8682
1.965	2.7953
1.97	2.6977
1.975	2.5681
1.98	2.406
1.985	2.2122
1.99	1.9906
1.995	1.7483
2.0	1.4957
2.005	1.2425
2.01	1.0007
2.015	0.78
2.02	0.5875
2.025	0.427
2.03	0.2991
2.035	0.2019
2.04	0.131
2.045	0.0817
2.05	0.049
2.055	0.0282
2.06	0.0156
2.065	0.0082
2.07	0.0042
2.075	0.002
2.08	0.001
2.085	0.0004
