#wave	trans
0.68	0.0
0.685	0.001
0.69	0.003
0.695	0.015
0.7	0.087
0.705	0.262
0.71	0.48
0.715	0.633
0.72	0.7070000000000001
0.725	0.777
0.73	0.851
0.735	0.934
0.74	0.98
0.745	0.993
0.75	1.0
0.755	0.9359999999999999
0.76	0.7090000000000001
0.765	0.716
0.77	0.917
0.775	0.9590000000000001
0.78	0.945
0.785	0.934
0.79	0.927
0.795	0.9229999999999999
0.8	0.9309999999999999
0.805	0.929
0.81	0.902
0.815	0.826
0.82	0.784
0.825	0.733
0.83	0.643
0.835	0.565
0.84	0.5760000000000001
0.845	0.7340000000000001
0.85	0.5539999999999999
0.855	0.12300000000000001
0.86	0.027999999999999997
0.865	0.009000000000000001
0.87	0.004
0.875	0.002
0.88	0.0
