#wavelength	surface_flux
0.6450077295303345	24900954.150391024
0.6472567915916443	35897684.98280362
0.6494921445846558	39602799.840900905
0.6517150402069092	40772645.42830603
0.6539263725280762	45638159.48959999
0.6561272740364075	49234743.32735322
0.6583186388015747	51335103.63661378
0.6605015397071838	52753284.88882339
0.6626768708229065	51339922.353924975
0.6648455858230591	45792086.55911531
0.6670085787773132	38707696.55712939
0.6691668033599854	33753256.8671186
0.6713210344314575	30785683.48074706
0.6734722256660461	29818945.684289444
0.6756211519241333	32038292.196932707
0.6777685880661011	35087053.36738382
0.6799154281616211	37332977.79328585
0.6820623278617859	41378325.11541364
0.6842101216316223	46604397.79706335
0.6863595843315125	51485484.68338635
0.688511312007904	58744749.031952634
0.6906660795211792	67102967.34709408
0.6928245425224304	71887861.48018062
0.6949873566627502	78007323.87103839
0.6971551775932312	91283099.16495776
0.6993286609649658	105769938.09514757
0.7015084028244019	116646635.53759159
0.7036949396133423	115316828.72809002
0.7058889269828796	88104074.32522283
0.7080909013748169	55277920.481747024
0.710301399230957	40984540.95507674
0.712520956993103	36799296.94127748
0.7147500514984131	35933909.80806741
0.7169892191886902	40865758.649885334
0.7192389369010925	48406420.938955955
0.7214996814727783	55417383.655182466
0.723771870136261	67269338.80681573
0.7260559797286987	84021766.38894689
0.7283523678779602	102008254.8542498
0.7306615710258484	123691280.1829441
0.7329838871955872	141674180.37154168
0.7353196740150452	147994426.75020513
0.7376693487167358	148041706.66882047
0.7400332689285278	140881837.7437371
0.7424117922782898	129849908.76697733
0.7448052167892456	122346192.4440734
0.7472138404846191	121134636.41701926
0.7496379613876343	127908312.31498608
0.7520779371261597	139549806.0060918
0.7545340061187744	156997301.83744615
0.7570064663887024	168436436.65492442
0.7594954967498779	158790221.57925835
0.7620013952255249	143856491.62369454
0.7645244002342224	134397555.77807698
0.7670646905899048	122250266.20534182
0.7696225643157959	113911107.51801774
0.7721980810165405	118615998.70713416
0.7747915983200073	126184395.59637296
0.7774031162261963	131622711.42321308
0.7800329327583313	143469618.59664434
0.7826811671257019	156019013.280268
0.7853479981422424	166092394.59227583
0.7880334854125977	180433460.63836524
0.7907378077507019	190138923.90513638
0.7934610247612	194798464.71657914
0.7962033748626709	203868201.70833817
0.7989648580551147	212407121.3064246
0.801745593547821	222166747.10037115
0.8045456409454346	237999624.55453888
0.8073651194572449	264308767.67183316
0.8102040886878967	306607245.8188871
0.8130625486373901	363319855.8860219
0.8159406185150146	421032583.90755844
0.8188382983207703	432751912.4640711
0.8217556476593018	396237356.99429643
0.8246926665306091	371032878.0683375
0.8276493549346924	353917090.70487505
0.8306257724761963	336231439.8358565
0.8336219191551208	333941576.5220495
0.8366377949714661	334546851.5726219
0.8396733403205872	329811462.4378921
0.8427285552024841	290447578.81042314
0.8458034992218018	216989699.0958749
0.8488980531692505	177892861.00946513
0.8520121574401855	183365389.86957622
0.8551458716392517	199370500.39733306
0.8582990765571594	216139768.7070709
0.8614717125892639	229828278.54991713
0.8646637797355652	240104030.38425946
0.8678751587867737	249042439.4766412
0.8711057901382446	268025957.152196
0.8743556141853333	299119647.0801097
0.87762451171875	343329783.28610814
0.8809124231338501	397974503.53101313
0.8842192888259888	418842204.1641311
0.8875449895858765	383994829.9248908
0.8908893465995789	365836494.1091117
0.894252359867096	388745620.1696714
0.8976338505744934	426435800.9789942
0.9010337591171265	479989594.132751
0.9044519662857056	542986867.0288724
0.9078882932662964	620093413.9257528
0.9113426208496094	707871959.0220277
0.914814829826355	798593449.8797594
0.9183048605918884	813045219.3568982
0.9218124747276306	660096057.767497
0.925337553024292	481512365.1793571
0.9288799166679382	415555526.6169818
0.9324395060539246	408381163.76256216
0.9360161423683167	420601795.525138
0.9396095871925354	446276140.4128055
0.943219780921936	479179797.89876676
0.9468464851379395	519662787.6735932
0.9504896402359009	567772859.5154595
0.9541489481925964	624146170.8995172
0.9578243494033813	691152434.8708823
0.9615156054496765	763884207.0924596
0.9652225375175476	847797423.1208886
0.9689450263977051	919133294.4292208
0.9726828336715698	901871244.3873551
0.9764357805252075	849900113.4996136
0.9802037477493286	845986376.9550476
0.983986496925354	863285131.4886018
0.9877838492393494	900606803.003145
0.9915955662727356	933781468.8373375
0.9954215884208679	986558111.2654521
0.9992615580558777	1026961238.0643424
1.0031154155731201	1002407390.7835852
1.0069829225540161	1021862764.0262688
1.0108637809753418	1076592297.9433053
1.0147579908370972	1060387129.656992
1.018665075302124	1022169262.4011531
1.022585153579712	1018294658.4760612
1.0265177488327026	1016056595.0573175
1.0304628610610962	1021744318.236796
1.0344202518463135	1049917732.2858422
1.0383895635604858	1082230598.0523047
1.0423706769943237	1124100896.356293
1.0463634729385376	1170834690.2106576
1.0503677129745483	1213866995.1370833
1.0543830394744873	1264072780.2997367
1.058409333229065	1325031926.0833943
1.0624464750289917	1404504023.390449
1.0664942264556885	1492247476.9278784
1.0705522298812866	1587576388.2365406
1.0746204853057861	1673544286.2240248
1.0786986351013184	1720399320.6780062
1.0827864408493042	1757949829.0870621
1.086883783340454	1794009479.6166453
1.0909905433654785	1822954353.3355863
1.0951062440872192	1847972451.8610504
1.0992310047149658	1772496520.8989851
1.10336434841156	1516307481.2784257
1.1075061559677124	1302179210.707864
1.1116561889648438	1329462790.6467624
1.115814208984375	1419495026.3823254
1.1199802160263062	1475500807.5901506
1.124153733253479	1561533588.2271562
1.1283347606658936	1667223951.8760087
1.1325229406356812	1772863476.883958
1.1367181539535522	1844350997.4920304
1.1409201622009277	1891771427.1279807
1.145128846168518	1962682453.8144162
1.1493438482284546	2035103752.2568243
1.1535650491714478	2078844552.682114
1.1577922105789185	2084333835.3790247
1.1620250940322876	2081946372.5457664
1.1662636995315552	2102279774.0078328
1.170507550239563	2121123182.473065
1.174756646156311	2120582837.612152
1.1790107488632202	2108791020.7716236
1.1832695007324219	2113837001.419286
1.1875330209732056	2123165396.576444
1.191800832748413	2128094895.452484
1.1960728168487549	2141990171.0597818
1.2003488540649414	2175140080.75553
1.2046287059783936	2225203506.4725084
1.2089121341705322	2262801027.7917547
1.2131990194320679	2293102249.156689
1.2174891233444214	2317902004.333444
1.2217823266983032	2329699867.0439625
1.2260783910751343	2336958636.58869
1.230377197265625	2343687746.3074617
1.2346785068511963	2338702622.070186
1.238982081413269	2236312152.202762
1.2432878017425537	2008939295.6545832
1.2475954294204712	1877058376.8237398
1.2519049644470215	1890033353.381166
1.256216049194336	1853946925.0384216
1.2605286836624146	1796206603.2936168
1.2648425102233887	1824128905.0739858
1.2691574096679688	1869840415.8351433
1.2734732627868652	1869451439.7566588
1.2777899503707886	1881363736.0329587
1.2821072340011597	1905362263.3709571
1.2864248752593994	1924774600.2159271
1.2907428741455078	1969731674.7798717
1.2950609922409058	2037116073.8076072
1.2993791103363037	2087361235.6704543
1.303696870803833	2116782135.5185635
1.3080145120620728	2145444439.5520513
1.3123314380645752	2162451870.18695
1.3166478872299194	2190711440.781203
1.3209635019302368	2217077996.4197483
1.3252781629562378	2210377221.3808327
1.3295916318893433	2167162201.9195924
1.3339040279388428	2101023481.466743
1.3382149934768677	2048334633.0265543
1.3425244092941284	2037024430.1860754
1.3468321561813354	2049226086.2234411
1.3511382341384888	2050183896.4145398
1.3554422855377197	2049468780.2710912
1.3597444295883179	2057739053.1216013
1.3640443086624146	2081132223.18275
1.3683418035507202	2119208928.7205167
1.3726370334625244	2152816912.642933
1.3769296407699585	2175031924.8931613
1.381219506263733	2174021932.8577743
1.3855066299438477	2114879544.4665303
1.3897908926010132	1968410620.2477303
1.3940720558166504	1858478451.889797
1.3983501195907593	1892552136.1901739
1.4026249647140503	1962357459.6549153
1.4068963527679443	1974779101.4781718
1.4111642837524414	1939904379.9479194
1.4154287576675415	1900446826.7711968
1.419689416885376	1866562877.6421013
1.4239463806152344	1840268670.5087872
1.4281994104385376	1845138142.181258
1.4324485063552856	1837627797.2603362
1.436693549156189	1792326459.4313834
1.440934419631958	1785979841.0442364
1.4451709985733032	1822434954.0658805
1.449403166770935	1839065922.885914
1.453631043434143	1812888983.445918
1.4578542709350586	1746944505.6495638
1.4620729684829712	1679748102.1265101
1.4662868976593018	1670947479.0480697
1.4704961776733398	1706751294.7465682
1.4747005701065063	1743074302.1373827
1.4788999557495117	1786439742.1177735
1.4830944538116455	1832960955.3635964
1.4872838258743286	1850600026.770917
1.491468071937561	1881431958.588189
1.4956470727920532	1947571268.2699535
1.4998208284378052	1945344858.3975198
1.5039892196655273	1894356421.124045
1.5081522464752197	1901198580.6627111
1.5123097896575928	1931077083.4781804
1.5164618492126465	1961491334.0173266
1.5206083059310913	2018656162.3384182
1.5247491598129272	2042002140.3230798
1.5288842916488647	2041841550.306177
1.5330137014389038	2057529778.74674
1.5371372699737549	1996631761.9578142
1.541254997253418	1942736893.6905315
1.545366883277893	2045514247.306004
1.5494728088378906	2138305725.8639915
1.5535727739334106	2070927724.6049392
1.5576666593551636	1919841339.9880166
1.561754584312439	1876317093.6217203
1.5658363103866577	1976090885.8860579
1.5699119567871094	2066055680.869058
1.5739814043045044	2046482930.2821612
1.5780447721481323	1914186303.3364475
1.582101821899414	1856784206.689492
1.5861525535583496	1928011797.006816
