Wave,Flux,Noise
0.45,0.952,0.026
0.5,0.98,0.013
0.55,1.0,0.0
0.6,1.014,0.006
0.65,1.031,0.009
0.7,1.05,0.013
0.75,1.072,0.017
0.8,1.087,0.025
0.85,1.1,0.031
0.9,1.114,0.032
0.95,1.13,0.034
1.0,1.152,0.04
1.05,1.172,0.046
1.1,1.188,0.05
1.15,1.203,0.052
1.2,1.217,0.051
1.25,1.23,0.054
1.3,1.243,0.054
1.35,1.256,0.052
1.4,1.268,0.049
1.45,1.28,0.045
1.5,1.291,0.042
1.55,1.305,0.04
1.6,1.319,0.039
1.65,1.331,0.037
1.7,1.342,0.038
1.75,1.356,0.039
1.8,1.369,0.041
1.85,1.382,0.043
1.9,1.394,0.045
1.95,1.405,0.045
2.0,1.415,0.044
2.05,1.425,0.043
2.1,1.437,0.041
2.15,1.449,0.04
2.2,1.46,0.039
2.25,1.473,0.04
2.3,1.484,0.04
2.35,1.493,0.041
2.4,1.501,0.044
2.45,1.506,0.047
