Wave,Flux,Noise
0.45,0.851,0.042
0.5,0.928,0.024
0.55,1.0,0.0
0.6,1.047,0.014
0.65,1.085,0.023
0.7,1.114,0.03
0.75,1.098,0.033
0.8,1.029,0.036
0.85,0.95,0.038
0.9,0.892,0.035
0.95,0.864,0.031
1.0,0.862,0.032
1.05,0.879,0.037
1.1,0.913,0.042
1.15,0.958,0.044
1.2,0.995,0.047
1.25,1.022,0.053
1.3,1.048,0.058
1.35,1.078,0.058
1.4,1.109,0.058
1.45,1.137,0.057
1.5,1.157,0.056
1.55,1.169,0.056
1.6,1.172,0.058
1.65,1.167,0.058
1.7,1.156,0.059
1.75,1.146,0.061
1.8,1.137,0.063
1.85,1.13,0.065
1.9,1.125,0.068
1.95,1.123,0.071
2.0,1.122,0.073
2.05,1.127,0.076
2.1,1.135,0.08
2.15,1.145,0.084
2.2,1.157,0.088
2.25,1.171,0.092
2.3,1.182,0.098
2.35,1.195,0.105
2.4,1.208,0.111
2.45,1.222,0.115
