Wave,Flux,Noise
0.45,0.978,0.014
0.5,0.989,0.011
0.55,1.0,0.0
0.6,1.004,0.017
0.65,1.002,0.027
0.7,0.995,0.035
0.75,0.983,0.045
0.8,0.97,0.056
0.85,0.955,0.066
0.9,0.94,0.07
0.95,0.93,0.075
1.0,0.921,0.081
1.05,0.912,0.085
1.1,0.905,0.09
1.15,0.898,0.092
1.2,0.892,0.092
1.25,0.885,0.092
1.3,0.879,0.094
1.35,0.876,0.095
1.4,0.873,0.095
1.45,0.868,0.098
1.5,0.861,0.101
1.55,0.859,0.1
1.6,0.858,0.1
1.65,0.855,0.102
1.7,0.848,0.105
1.75,0.847,0.108
1.8,0.842,0.109
1.85,0.841,0.109
1.9,0.841,0.11
1.95,0.841,0.108
2.0,0.84,0.107
2.05,0.837,0.107
2.1,0.834,0.112
2.15,0.831,0.114
2.2,0.828,0.114
2.25,0.825,0.114
2.3,0.82,0.111
2.35,0.814,0.11
2.4,0.808,0.112
2.45,0.803,0.118
