age,mass,luminosity,temperature,gravity,radius
0.001,0.0005,-4.95587,635.308,2.42076,0.228398
0.001,0.001,-4.87068,823.131,2.93024,0.179666
0.001,0.002,-4.21052,1222.99,3.26543,0.172737
0.001,0.003,-3.8762,1472.94,3.42818,0.175411
0.001,0.004,-3.6228,1684.12,3.52921,0.180308
0.001,0.005,-3.44207,1845.74,3.60229,0.185322
0.001,0.006,-3.3002,1975.49,3.65719,0.190575
0.001,0.007,-3.07661,2135.53,3.65829,0.205584
0.001,0.008,-2.84571,2324.76,3.60963,0.232444
0.001,0.009,-2.75281,2392.74,3.61707,0.244441
0.001,0.01,-2.67195,2445.73,3.61895,0.257106
0.001,0.012,-2.55096,2520.34,3.62987,0.278127
0.001,0.015,-2.40587,2602.86,3.63743,0.308261
0.001,0.02,-2.21503,2687.45,3.62667,0.360385
0.001,0.03,-1.97456,2788.43,3.62616,0.441641
0.001,0.04,-1.806,2845.24,3.61786,0.514855
0.001,0.05,-1.64238,2884.36,3.57499,0.604753
0.001,0.06,-1.4926,2963.14,3.55082,0.681166
0.001,0.07,-1.32833,3070.28,3.51545,0.766321
0.001,0.072,-1.29449,3101,3.51105,0.781141
0.001,0.075,-1.24439,3145.64,3.50365,0.804068
0.001,0.08,-1.16027,3231.04,3.4938,0.839909
0.001,0.09,-1.0032,3411.55,3.48234,0.902694
0.001,0.1,-0.87455,3576.33,3.48186,0.952048
0.001,0.11,-0.78562,3705.58,3.49571,0.982718
0.001,0.12,-0.7521,3777.19,3.53315,0.983114
0.001,0.15,-0.79128,3841.49,3.69862,0.908494
0.001,0.2,-0.66423,4096.66,3.80811,0.924798
0.005,0.0005,-6.03259,440.846,2.71073,0.163572
0.005,0.001,-5.56762,597.827,3.07516,0.152058
0.005,0.002,-4.91542,887.819,3.41236,0.145856
0.005,0.003,-4.59456,1063.07,3.57844,0.147546
0.005,0.004,-4.35816,1209.79,3.68923,0.149969
0.005,0.005,-4.18166,1330.78,3.7734,0.152186
0.005,0.006,-4.0379,1437.71,3.84231,0.153995
0.005,0.007,-3.86397,1569.77,3.89605,0.156355
0.005,0.008,-3.65631,1753.85,3.93493,0.159832
0.005,0.009,-3.48689,1917.53,3.97108,0.162619
0.005,0.01,-3.34648,2063.9,3.99846,0.166096
0.005,0.012,-3.15523,2242.77,4.0322,0.175016
0.005,0.015,-2.9219,2430.45,4.03508,0.195027
0.005,0.02,-2.54691,2650.86,3.93477,0.252765
0.005,0.03,-2.13447,2803.93,3.7962,0.36312
0.005,0.04,-1.90097,2869.48,3.72758,0.453763
0.005,0.05,-1.74286,2917.65,3.69515,0.526623
0.005,0.06,-1.69958,2965.11,3.75928,0.535822
0.005,0.07,-1.71207,3020.66,3.87064,0.509118
0.005,0.072,-1.71095,3030.33,3.88754,0.506387
0.005,0.075,-1.71081,3045,3.9133,0.50173
0.005,0.08,-1.70653,3067.06,3.94952,0.497018
0.005,0.09,-1.68886,3106.09,4.00511,0.494485
0.005,0.1,-1.66138,3141.17,4.04282,0.499089
0.005,0.11,-1.62815,3174.09,4.06918,0.507802
0.005,0.12,-1.59117,3207.6,4.08877,0.518556
0.005,0.15,-1.48809,3309.22,4.13637,0.548843
0.005,0.2,-1.32026,3514.87,4.19802,0.590326
0.01,0.0005,-6.38024,375.739,2.77723,0.151516
0.01,0.001,-5.87365,515.807,3.1264,0.143347
0.01,0.002,-5.29517,732.144,3.45861,0.138292
0.01,0.003,-4.961,884.692,3.62675,0.139564
0.01,0.004,-4.70796,1018.8,3.74151,0.141209
0.01,0.005,-4.50963,1137.21,3.82938,0.142686
0.01,0.006,-4.34747,1243.44,3.90093,0.143945
0.01,0.007,-4.19885,1346.79,3.95939,0.145359
0.01,0.008,-4.06021,1452.4,4.00784,0.146964
0.01,0.009,-3.94634,1546.37,4.05389,0.14783
0.01,0.01,-3.8374,1644.23,4.09462,0.148688
0.01,0.012,-3.55172,1908.18,4.15207,0.152455
0.01,0.015,-3.03265,2366.88,4.10224,0.180516
0.01,0.02,-2.58728,2641.23,3.96872,0.243075
0.01,0.03,-2.27276,2801.92,3.9331,0.310167
0.01,0.04,-2.23924,2886.07,4.07579,0.303894
0.01,0.05,-2.15661,2951.09,4.12871,0.319683
0.01,0.06,-2.08731,3014.08,4.17525,0.331925
0.01,0.07,-2.02323,3062.09,4.20578,0.346136
0.01,0.072,-2.01084,3072.07,4.21095,0.348963
0.01,0.075,-1.99441,3084.9,4.21931,0.352747
0.01,0.08,-1.96771,3104.08,4.23166,0.359171
0.01,0.09,-1.91868,3137.28,4.25239,0.371973
0.01,0.1,-1.87295,3164.98,4.26788,0.385166
0.01,0.11,-1.82839,3192.07,4.27913,0.398767
0.01,0.12,-1.78581,3216.54,4.28809,0.412223
0.01,0.15,-1.67405,3290.91,4.31288,0.447914
0.01,0.2,-1.52137,3426.08,4.35484,0.492811
0.05,0.0005,-7.17284,255.375,2.89674,0.132039
0.05,0.001,-6.7102,336.817,3.21971,0.128746
0.05,0.002,-6.16909,462.084,3.53249,0.127016
0.05,0.003,-5.84106,557.388,3.70394,0.127696
0.05,0.004,-5.58914,644.154,3.82649,0.128048
0.05,0.005,-5.38335,725.41,3.92296,0.128112
0.05,0.006,-5.20659,803.672,4.00288,0.128004
0.05,0.007,-5.04617,882.135,4.07093,0.127842
0.05,0.008,-4.90415,958.508,4.12976,0.127718
0.05,0.009,-4.78317,1028.9,4.18202,0.127556
0.05,0.01,-4.67495,1096.83,4.22837,0.127468
0.05,0.012,-4.33724,1307.27,4.28758,0.130433
0.05,0.015,-3.56819,1945.12,4.29363,0.144817
0.05,0.02,-3.74136,1850.72,4.50531,0.131053
0.05,0.03,-3.26463,2383.74,4.64404,0.136812
0.05,0.04,-3.01382,2642.16,4.69693,0.148646
0.05,0.05,-2.83785,2804.15,4.72127,0.161598
0.05,0.06,-2.70712,2912.13,4.73563,0.174119
0.05,0.07,-2.60172,2992.14,4.74428,0.186207
0.05,0.072,-2.58302,3006.13,4.74584,0.18851
0.05,0.075,-2.55626,3026.11,4.7478,0.191964
0.05,0.08,-2.51411,3056.1,4.7508,0.197574
0.05,0.09,-2.43743,3109.09,4.75516,0.208512
0.05,0.1,-2.37095,3151.9,4.75842,0.218967
0.05,0.11,-2.31026,3189.1,4.75945,0.22938
0.05,0.12,-2.25434,3223.6,4.7607,0.239238
0.05,0.15,-2.11445,3306.9,4.76173,0.267159
0.05,0.2,-1.94562,3399.08,4.76569,0.307086
0.1,0.0005,-7.50102,216.5,2.93799,0.125914
0.1,0.001,-7.06885,279.009,3.25039,0.124278
0.1,0.002,-6.52936,380.767,3.55599,0.123626
0.1,0.003,-6.2095,457.313,3.72809,0.124195
0.1,0.004,-5.96666,526.164,3.85229,0.124301
0.1,0.005,-5.7674,590.972,3.95074,0.12408
0.1,0.006,-5.59476,654.195,4.03309,0.123628
0.1,0.007,-5.44046,716.694,4.10397,0.123069
0.1,0.008,-5.30083,778.735,4.16577,0.122531
0.1,0.009,-5.17608,838.762,4.22076,0.121991
0.1,0.01,-5.06121,899.145,4.26983,0.121526
0.1,0.012,-4.66396,1108.85,4.33409,0.123633
0.1,0.015,-4.29162,1366.59,4.41154,0.126434
0.1,0.02,-4.26999,1428.81,4.58401,0.1197
0.1,0.03,-3.74251,1950.48,4.7737,0.117841
0.1,0.04,-3.34621,2400.24,4.86233,0.122872
0.1,0.05,-3.12395,2640.21,4.90253,0.131162
0.1,0.06,-2.96798,2796.18,4.92516,0.139985
0.1,0.07,-2.84721,2905.16,4.93827,0.148936
0.1,0.072,-2.82576,2923.16,4.93966,0.150807
0.1,0.075,-2.79569,2949.15,4.9426,0.153398
0.1,0.08,-2.74842,2988.14,4.94652,0.157715
0.1,0.09,-2.66436,3054.14,4.95137,0.16635
0.1,0.1,-2.59041,3108.85,4.95408,0.174802
0.1,0.11,-2.52241,3155.12,4.95341,0.183476
0.1,0.12,-2.46239,3194.61,4.95321,0.191679
0.1,0.15,-2.31254,3288.89,4.95007,0.215079
0.1,0.2,-2.11704,3400.08,4.93749,0.251975
0.12,0.0005,-7.58659,207.323,2.9482,0.124443
0.12,0.001,-7.16021,265.906,3.25791,0.123207
0.12,0.002,-6.62234,362.081,3.56168,0.122818
0.12,0.003,-6.30368,434.69,3.73386,0.123373
0.12,0.004,-6.06266,499.673,3.85832,0.12344
0.12,0.005,-5.86566,560.559,3.95721,0.123159
0.12,0.006,-5.69488,620.046,4.03997,0.122653
