mass,age,temperature,luminosity,radius,gravity,metallicity,chemistry,eos
0.002,0.005223345,848.3067222,-5.00522687,0.14578274,3.41203212,0,eq,SVCH
0.002,0.006614741,801.9673486,-5.12214475,0.14257706,3.43134651,0,eq,SVCH
0.002,0.008376776,754.8079069,-5.24558016,0.13962572,3.44951444,0,eq,SVCH
0.002,0.010608184,708.1241423,-5.37328123,0.13695136,3.46631194,0,eq,SVCH
0.002,0.013433993,661.1596936,-5.50784677,0.13455522,3.48164396,0,eq,SVCH
0.002,0.017012543,615.3745649,-5.64637876,0.13242544,3.49550199,0,eq,SVCH
0.002,0.021544347,578.6875634,-5.76590652,0.13049266,3.50827251,0,eq,SVCH
0.002,0.027283334,545.7130583,-5.88014016,0.12865898,3.52056465,0,eq,SVCH
0.002,0.034551073,512.4064151,-6.00122833,0.12693711,3.53226744,0,eq,SVCH
0.002,0.043754794,481.2175724,-6.12132575,0.12533942,3.54326915,0,eq,SVCH
0.002,0.055410203,452.3694924,-6.23915203,0.12384318,3.55370034,0,eq,SVCH
0.002,0.070170383,427.6609409,-6.34687921,0.12240349,3.56385679,0,eq,SVCH
0.002,0.088862382,402.2109083,-6.46324329,0.12103131,3.57364895,0,eq,SVCH
0.002,0.112533558,383.3436924,-6.55637669,0.11969131,3.58331903,0,eq,SVCH
0.002,0.142510267,363.9185931,-6.65637013,0.11836545,3.59299441,0,eq,SVCH
0.002,0.180472177,346.2656043,-6.75226631,0.11707975,3.60248077,0,eq,SVCH
0.002,0.228546386,332.9076654,-6.8303268,0.11577672,3.61220187,0,eq,SVCH
0.002,0.289426612,318.2035924,-6.91886436,0.11444278,3.62226758,0,eq,SVCH
0.002,0.366524124,302.4389781,-7.01729604,0.11311134,3.63243192,0,eq,SVCH
0.002,0.464158883,288.0793659,-7.11177616,0.11181951,3.64240952,0,eq,SVCH
0.002,0.587801607,273.2698256,-7.21340016,0.11054579,3.65235996,0,eq,SVCH
0.002,0.744380301,257.5600995,-7.3259954,0.10931213,3.66210773,0,eq,SVCH
0.002,0.942668455,244.7100266,-7.42435051,0.1081307,3.67154646,0,eq,SVCH
0.002,1.19377664,233.8481687,-7.51288592,0.10693374,3.68121492,0,eq,SVCH
0.002,1.51177507,221.7693385,-7.61477636,0.10573929,3.69097152,0,eq,SVCH
0.002,1.91448198,208.7242132,-7.7295863,0.10458866,3.70047506,0,eq,SVCH
0.003,0.001,1492.052691,-3.80730137,0.18716201,3.37110135,0,eq,SVCH
0.003,0.00126638,1424.221802,-3.92343734,0.17970434,3.40642051,0,eq,SVCH
0.003,0.001603719,1352.780233,-4.04543885,0.17308199,3.43903364,0,eq,SVCH
0.003,0.002030918,1283.337089,-4.16686149,0.16723065,3.46890569,0,eq,SVCH
0.003,0.002571914,1222.904174,-4.27870924,0.16191775,3.49694837,0,eq,SVCH
0.003,0.003257021,1161.101247,-4.3951459,0.15707861,3.52330355,0,eq,SVCH
0.003,0.004124626,1097.814132,-4.51712518,0.1526931,3.54789737,0,eq,SVCH
0.003,0.005223345,1038.217991,-4.63692847,0.14872447,3.57077089,0,eq,SVCH
0.003,0.006614741,979.1488057,-4.75985084,0.1451473,3.59191799,0,eq,SVCH
0.003,0.008376776,921.8805079,-4.88410791,0.1419174,3.61146575,0,eq,SVCH
0.003,0.010608184,868.670605,-5.00555237,0.13897762,3.6296467,0,eq,SVCH
0.003,0.013433993,816.6266378,-5.12994331,0.13627081,3.64673031,0,eq,SVCH
0.003,0.017012543,766.3795622,-5.25609367,0.13381418,3.66253222,0,eq,SVCH
0.003,0.021544347,717.493686,-5.385194,0.13158112,3.67714882,0,eq,SVCH
0.003,0.027283334,668.8406362,-5.52060986,0.12956198,3.69058069,0,eq,SVCH
0.003,0.034551073,621.5128368,-5.66032759,0.12775415,3.70278599,0,eq,SVCH
0.003,0.043754794,582.1931543,-5.78501819,0.1261204,3.71396522,0,eq,SVCH
0.003,0.055410203,548.3213691,-5.89986317,0.12457314,3.7246869,0,eq,SVCH
0.003,0.070170383,513.9597669,-6.02247103,0.12312125,3.73486979,0,eq,SVCH
0.003,0.088862382,481.8422243,-6.14415561,0.1217694,3.74445934,0,eq,SVCH
0.003,0.112533558,451.1244121,-6.26767152,0.12050485,3.75352663,0,eq,SVCH
0.003,0.142510267,425.4877607,-6.37804387,0.11929906,3.76226166,0,eq,SVCH
0.003,0.180472177,399.7519241,-6.49482375,0.11814949,3.77067185,0,eq,SVCH
0.003,0.228546386,379.6865069,-6.59252901,0.11703564,3.77889937,0,eq,SVCH
0.003,0.289426612,359.1570676,-6.69719867,0.11594575,3.78702595,0,eq,SVCH
0.003,0.366524124,342.7673355,-6.78633735,0.11488279,3.79502569,0,eq,SVCH
0.003,0.464158883,328.8484327,-6.86665698,0.11379086,3.8033209,0,eq,SVCH
0.003,0.587801607,313.6629096,-6.95728848,0.11268358,3.81181437,0,eq,SVCH
0.003,0.744380301,297.938569,-7.05511002,0.11158805,3.82030028,0,eq,SVCH
0.003,0.942668455,283.7223081,-7.14850452,0.11050693,3.82875662,0,eq,SVCH
0.003,1.19377664,268.3172632,-7.253923,0.10943698,3.83720742,0,eq,SVCH
0.003,1.51177507,252.2274781,-7.36955632,0.10840794,3.84541333,0,eq,SVCH
0.003,1.91448198,241.4079388,-7.45388751,0.10739466,3.85357015,0,eq,SVCH
0.003,2.42446202,230.1932076,-7.54496246,0.10635485,3.86202094,0,eq,SVCH
0.003,3.07029063,217.8738026,-7.64898633,0.10532452,3.87047651,0,eq,SVCH
0.003,3.88815518,204.6461493,-7.76599444,0.10433167,3.87870322,0,eq,SVCH
0.004,0.001,1692.58908,-3.54117917,0.19757568,3.44900878,0,eq,SVCH
0.004,0.00126638,1631.796676,-3.64470778,0.18868392,3.48900645,0,eq,SVCH
0.004,0.001603719,1561.668389,-3.75892351,0.18063126,3.52689069,0,eq,SVCH
0.004,0.002030918,1486.334024,-3.87981813,0.17349461,3.5619026,0,eq,SVCH
0.004,0.002571914,1410.605941,-4.00288409,0.16717588,3.59412708,0,eq,SVCH
0.004,0.003257021,1334.806372,-4.12836913,0.16158946,3.62365034,0,eq,SVCH
0.004,0.004124626,1265.459065,-4.2481887,0.15661841,3.65079074,0,eq,SVCH
0.004,0.005223345,1197.890617,-4.36892495,0.15210051,3.67621381,0,eq,SVCH
0.004,0.006614741,1131.559368,-4.4915069,0.1480228,3.6998189,0,eq,SVCH
0.004,0.008376776,1067.617864,-4.61435112,0.14435229,3.72162869,0,eq,SVCH
