mass,age,temperature,luminosity,radius,gravity,metallicity
0.002,0.942668455,236.03548142,-7.47878679,0.10916174,3.66330343,0.0
0.002,1.19377664,224.41058695,-7.57554169,0.10803738,3.67229623,0.0
0.002,1.51177507,212.09308014,-7.68248918,0.10693688,3.68118931,0.0
0.003,0.001,1508.71167422,-3.81664113,0.18109317,3.39973133,0.0
0.003,0.00126638017,1436.3035565,-3.9358984,0.17417617,3.43356022,0.0
0.003,0.00160371874,1358.45265051,-4.06384728,0.16804378,3.46469272,0.0
0.003,0.00203091762,1282.34266145,-4.19204679,0.1627031,3.49274467,0.0
0.003,0.00257191381,1217.87479477,-4.30761574,0.15791145,3.51870986,0.0
0.003,0.00325702066,1152.91912471,-4.42701442,0.15357621,3.54288873,0.0
0.003,0.00412462638,1087.27554623,-4.55118736,0.14967539,3.56523627,0.0
0.003,0.00522334507,1024.06607745,-4.67594695,0.14615258,3.58592379,0.0
0.003,0.00661474064,961.86389032,-4.80383191,0.14298573,3.60495095,0.0
0.003,0.0083767764,900.79570608,-4.93521485,0.14014198,3.62239921,0.0
0.003,0.0106081836,848.51799989,-5.05526486,0.13755606,3.63857712,0.0
0.003,0.0134339933,795.6000828,-5.18222807,0.13518621,3.65367125,0.0
0.003,0.0170125428,745.45541343,-5.30931539,0.13302593,3.66766333,0.0
0.003,0.0215443469,696.00009195,-5.44145418,0.13106769,3.68054486,0.0
0.003,0.0272833338,647.29707228,-5.57925603,0.12929718,3.69235766,0.0
0.003,0.0345510729,600.90766168,-5.71915805,0.12771384,3.70305994,0.0
0.003,0.0437547938,566.45750977,-5.83181654,0.126239,3.71314881,0.0
0.003,0.0554102033,531.98625873,-5.95056375,0.12483978,3.72282981,0.0
0.003,0.0701703829,498.11591456,-6.07396801,0.12353496,3.73195595,0.0
0.003,0.0888623816,467.43063554,-6.19304951,0.12231111,3.74060379,0.0
0.003,0.112533558,439.65255831,-6.30774492,0.12115608,3.74884523,0.0
0.003,0.142510267,414.45746782,-6.41835242,0.12003142,3.75694566,0.0
0.003,0.180472177,391.28130737,-6.52620385,0.11894485,3.76484435,0.0
0.003,0.228546386,370.78404453,-6.62757044,0.117868,3.77274375,0.0
0.003,0.289426612,350.02520164,-6.73545978,0.11681767,3.78051848,0.0
0.003,0.366524124,336.60391301,-6.81119919,0.11576689,3.78836681,0.0
0.003,0.464158883,321.835107,-6.8973226,0.11468135,3.79654997,0.0
0.003,0.587801607,305.58377986,-6.99566828,0.11358867,3.80486559,0.0
0.003,0.744380301,290.38584255,-7.09249969,0.11252051,3.81307236,0.0
0.003,0.942668455,274.92564285,-7.19569739,0.11146855,3.82123093,0.0
0.003,1.19377664,258.13873182,-7.31308855,0.11045305,3.82918019,0.0
0.003,1.51177507,244.99775453,-7.41151736,0.10948311,3.83684132,0.0
0.003,1.91448198,234.51859682,-7.49534407,0.1084905,3.84475207,0.0
0.003,2.42446202,223.00936718,-7.59084023,0.10748706,3.85282316,0.0
0.003,3.07029063,211.22352605,-7.69322796,0.10649598,3.86086904,0.0
0.004,0.001,1743.83170258,-3.51560481,0.19169774,3.47524052,0.0
0.004,0.00126638017,1662.8911324,-3.63753959,0.18319949,3.51462757,0.0
0.004,0.00160371874,1596.04702635,-3.74636445,0.17545228,3.55215711,0.0
0.004,0.00203091762,1515.14855751,-3.87193814,0.16848151,3.58737117,0.0
0.004,0.00257191381,1429.58004319,-4.00515205,0.16234632,3.6195908,0.0
0.004,0.00325702066,1342.86869381,-4.14293732,0.15699752,3.64869044,0.0
0.004,0.00412462638,1264.20665859,-4.27407897,0.15232039,3.67495927,0.0
0.004,0.00522334507,1189.70690295,-4.40357262,0.14817167,3.69894559,0.0
0.004,0.00661474064,1116.32947821,-4.53597752,0.14449811,3.72075016,0.0
0.004,0.0083767764,1047.19852248,-4.66675835,0.14125128,3.74049025,0.0
0.004,0.0106081836,980.48960417,-4.79904458,0.13836385,3.7584299,0.0
0.004,0.0134339933,917.66441878,-4.93039442,0.13578868,3.77474756,0.0
0.004,0.0170125428,859.72822895,-5.05852446,0.13348869,3.78958581,0.0
0.004,0.0215443469,803.710049,-5.18914461,0.13142095,3.80314575,0.0
0.004,0.0272833338,753.06265828,-5.31467999,0.12954637,3.81562403,0.0
0.004,0.0345510729,703.68491372,-5.44402693,0.12783978,3.82714264,0.0
0.004,0.0437547938,655.76903594,-5.57714232,0.1262857,3.8377661,0.0
0.004,0.0554102033,609.86088304,-5.71293622,0.12488613,3.84744622,0.0
0.004,0.0701703829,574.24942088,-5.82648761,0.12359024,3.85650598,0.0
0.004,0.0888623816,541.08219885,-5.93860216,0.12235128,3.86525746,0.0
0.004,0.112533558,507.80270562,-6.05725216,0.12117795,3.87362729,0.0
0.004,0.142510267,477.24164135,-6.17307663,0.12006437,3.88164599,0.0
0.004,0.180472177,447.50930968,-6.29253859,0.11900138,3.88937041,0.0
0.004,0.228546386,421.35796558,-6.40470984,0.11797192,3.89691705,0.0
0.004,0.289426612,396.00926356,-6.51978017,0.11698408,3.90422071,0.0
