age,mass,temperature,luminosity,radius,gravity,core_logt,core_logrho,li_frac,be_frac,b_frac,metallicity,y
0.01,0.075,3006,-2.048,0.352374101,4.220062603,6.199,1.108,1,1,1,0,0.275
0.01,0.08,3211,-1.988,0.330791367,4.302990955,6.238,1.218,1,1,1,-0.5,0.25
0.01,0.08,3025,-2.01,0.363741007,4.220514758,6.215,1.097,1,1,1,0,0.275
0.01,0.083,3750,-1.9,0.268633094,4.499768367,6.33,1.507,1,1,1,-2,0.25
0.01,0.083,3597,-1.921,0.284748201,4.449165414,6.309,1.432,1,1,1,-1.5,0.25
0.01,0.083,3530,-1.931,0.292230216,4.426637156,6.299,1.397,1,1,1,-1.3,0.25
0.01,0.083,3421,-1.946,0.30618705,4.386113755,6.282,1.337,1,1,1,-1,0.25
0.01,0.085,3758,-1.889,0.270935252,4.502697196,6.337,1.507,1,1,1,-2,0.25
0.01,0.085,3606,-1.91,0.287338129,4.451641706,6.316,1.431,1,1,1,-1.5,0.25
0.01,0.085,3538,-1.915,0.296546763,4.424241852,6.304,1.39,1,1,1,-1.3,0.25
0.01,0.085,3429,-1.93,0.310359712,4.384697546,6.287,1.33,1,1,1,-1,0.25
0.01,0.09,3779,-1.852,0.279280576,4.501170349,6.351,1.495,1,1,1,-2,0.25
0.01,0.09,3626,-1.874,0.296115108,4.450330679,6.329,1.418,1,1,1,-1.5,0.25
0.01,0.09,3559,-1.883,0.304028777,4.427422426,6.319,1.384,1,1,1,-1.3,0.25
0.01,0.09,3449,-1.897,0.318561151,4.386866187,6.302,1.323,1,1,1,-1,0.25
0.01,0.09,3246,-1.918,0.351223022,4.302085861,6.266,1.196,1,1,1,-0.5,0.25
0.01,0.09,3059,-1.939,0.385899281,4.220303873,6.242,1.076,1,1,1,0,0.275
0.01,0.1,3816,-1.784,0.296402878,4.49524447,6.375,1.466,1,1,1,-2,0.25
0.01,0.1,3662,-1.805,0.314244604,4.444473642,6.353,1.39,1,1,1,-1.5,0.25
0.01,0.1,3596,-1.818,0.321007194,4.42597977,6.345,1.362,1,1,1,-1.3,0.25
0.01,0.1,3486,-1.832,0.336402878,4.385289897,6.327,1.301,1,1,1,-1,0.25
0.01,0.1,3279,-1.852,0.371223022,4.299739498,6.29,1.173,1,1,1,-0.5,0.25
0.01,0.1,3090,-1.874,0.407625899,4.218485761,6.266,1.054,1,1,1,0,0.275
0.01,0.11,3846,-1.727,0.311798561,4.492653773,6.397,1.444,0.999,1,1,-2,0.25
0.01,0.11,3695,-1.75,0.328920863,4.446219143,6.377,1.375,1,1,1,-1.5,0.25
0.01,0.11,3627,-1.759,0.337697842,4.423345416,6.366,1.34,1,1,1,-1.3,0.25
0.01,0.11,3518,-1.771,0.35381295,4.382854538,6.348,1.279,1,1,1,-1,0.25
0.01,0.11,3309,-1.797,0.388489209,4.301644067,6.313,1.158,1,1,1,-0.5,0.25
0.01,0.11,3112,-1.821,0.42705036,4.219443802,6.288,1.038,1,1,1,0,0.275
0.01,0.15,3947,-1.535,0.369208633,4.480556865,6.466,1.367,0.984,1,1,-2,0.25
0.01,0.15,3795,-1.556,0.389496403,4.434093658,6.444,1.297,0.995,1,1,-1.5,0.25
0.01,0.15,3726,-1.565,0.400143885,4.410668192,6.434,1.262,0.997,1,1,-1.3,0.25
0.01,0.15,3617,-1.581,0.417122302,4.374573739,6.417,1.208,0.999,1,1,-1,0.25
0.01,0.15,3399,-1.606,0.458561151,4.292306042,6.38,1.085,1,1,1,-0.5,0.25
0.01,0.15,3186,-1.636,0.504028777,4.210189895,6.354,0.964,1,1,1,0,0.275
0.01,0.2,4036,-1.362,0.430647482,4.471795472,6.528,1.298,0.845,1,1,-2,0.25
0.01,0.2,3880,-1.383,0.454964029,4.424085175,6.505,1.226,0.944,1,1,-1.5,0.25
0.01,0.2,3809,-1.392,0.467194245,4.401044329,6.495,1.191,0.968,1,1,-1.3,0.25
0.01,0.2,3701,-1.406,0.486906475,4.365148197,6.478,1.137,0.986,1,1,-1,0.25
0.01,0.2,3479,-1.435,0.53294964,4.28666695,6.442,1.02,0.998,1,1,-0.5,0.25
0.01,0.2,3251,-1.464,0.590071942,4.198229367,6.412,0.889,1,1,1,0,0.275
0.01,0.3,4189,-1.114,0.531798561,4.46463624,6.615,1.206,0.157,0.979,1,-2,0.25
0.01,0.3,4013,-1.136,0.565467626,4.411315064,6.589,1.125,0.419,0.995,1,-1.5,0.25
0.01,0.3,3943,-1.145,0.579280576,4.390352624,6.58,1.094,0.538,0.997,1,-1.3,0.25
0.01,0.3,3831,-1.159,0.604316547,4.353601584,6.562,1.038,0.731,0.999,1,-1,0.25
0.01,0.3,3595,-1.193,0.659856115,4.277232064,6.526,0.924,0.94,1,1,-0.5,0.25
0.01,0.3,3345,-1.232,0.728057554,4.191799131,6.498,0.798,0.987,1,1,0,0.275
0.01,0.35,4252,-1.021,0.574964029,4.463795996,6.649,1.173,0.0336,0.924,1,-2,0.25
