age,mass,temperature,luminosity,radius,gravity,core_logt,core_logrho,li_frac,be_frac,b_frac,metallicity,y
0.01,0.35,4064,-1.046,0.610791367,4.411291566,6.623,1.094,0.154,0.979,1,-1.5,0.25
0.01,0.35,3993,-1.056,0.626330935,4.38946962,6.613,1.061,0.239,0.987,1,-1.3,0.25
0.01,0.35,3881,-1.07,0.652374101,4.354083923,6.596,1.008,0.425,0.995,1,-1,0.25
0.01,0.35,3648,-1.1,0.713093525,4.276784359,6.56,0.892,0.81,0.999,1,-0.5,0.25
0.01,0.35,3396,-1.138,0.786906475,4.191231108,6.531,0.766,0.953,1,1,0,0.275
0.01,0.4,4306,-0.943,0.612661871,4.466627587,6.673,1.162,0.0259,0.962,1,-2,0.25
0.01,0.4,4112,-0.968,0.65323741,4.410927196,6.647,1.077,0.144,0.989,1,-1.5,0.25
0.01,0.4,4042,-0.976,0.669640288,4.389386144,6.637,1.042,0.194,0.991,1,-1.3,0.25
0.01,0.4,3930,-0.989,0.698273381,4.353018319,6.622,0.984,0.277,0.993,1,-1,0.25
0.01,0.4,3702,-1.016,0.762302158,4.276814994,6.589,0.865,0.585,0.998,1,-0.5,0.25
0.01,0.4,3451,-1.05,0.843597122,4.188799113,6.559,0.735,0.876,1,1,0,0.275
0.01,0.5,4434,-0.791,0.689064748,4.461459241,6.707,1.172,0.386,0.997,1,-2,0.25
0.01,0.5,4232,-0.82,0.731510791,4.409537831,6.682,1.087,0.637,0.999,1,-1.5,0.25
0.01,0.5,4150,-0.833,0.748920863,4.389107447,6.672,1.049,0.643,0.999,1,-1.3,0.25
0.01,0.5,4035,-0.848,0.778848921,4.35507286,6.658,0.98,0.582,0.999,1,-1,0.25
0.01,0.5,3810,-0.875,0.84705036,4.282160843,6.633,0.841,0.444,0.997,1,-0.5,0.25
0.01,0.5,3555,-0.903,0.942014388,4.189864233,6.608,0.691,0.522,0.997,1,0,0.275
0.01,0.6,4643,-0.621,0.763741007,4.451268332,6.747,1.234,0.894,1,1,-2,0.25
0.01,0.6,4427,-0.657,0.80618705,4.404288916,6.721,1.148,0.935,1,1,-1.5,0.25
0.01,0.6,4322,-0.678,0.825323741,4.383911875,6.709,1.1,0.922,1,1,-1.3,0.25
0.01,0.6,4169,-0.708,0.856978417,4.351220783,6.69,1.015,0.877,1,1,-1,0.25
0.01,0.6,3920,-0.748,0.925611511,4.284303058,6.662,0.847,0.67,0.999,1,-0.5,0.25
0.01,0.6,3645,-0.785,1.02647482,4.194463951,6.645,0.668,0.289,0.993,1,0,0.275
0.01,0.7,5000,-0.401,0.848776978,4.426520158,6.8,1.335,0.989,1,1,-2,0.25
0.01,0.7,4760,-0.444,0.891223022,4.384134548,6.769,1.239,0.992,1,1,-1.5,0.25
0.01,0.7,4603,-0.485,0.909640288,4.366367967,6.752,1.18,0.987,1,1,-1.3,0.25
0.01,0.7,4377,-0.543,0.940143885,4.33771869,6.726,1.073,0.971,1,1,-1,0.25
0.01,0.7,4039,-0.624,1.005755396,4.279122599,6.688,0.871,0.863,1,1,-0.5,0.25
0.01,0.7,3719,-0.681,1.110935252,4.192729845,6.669,0.655,0.382,0.996,1,0,0.275
0.01,0.8,5419,-0.123,0.995251799,4.346233346,6.871,1.485,0.999,1,1,-2,0.25
0.01,0.8,5167,-0.195,1.007769784,4.335376622,6.834,1.376,0.999,1,1,-1.5,0.25
0.01,0.8,4981,-0.253,1.013669065,4.330306902,6.809,1.299,0.998,1,1,-1.3,0.25
0.01,0.8,4663,-0.349,1.035251799,4.312007301,6.77,1.163,0.994,1,1,-1,0.25
0.01,0.8,4176,-0.498,1.087769784,4.269025306,6.715,0.916,0.953,1,1,-0.5,0.25
0.01,0.8,4091,-0.539,1.081294964,4.274210927,6.729,0.796,0.104,0.989,1,0,0.275
0.1,0.075,2835,-2.831,0.160863309,4.901156567,6.459,2.125,0.356,0.998,1,0,0.275
0.1,0.08,3023,-2.759,0.153669065,4.968926392,6.483,2.215,0.0932,0.99,1,-0.5,0.25
0.1,0.08,2876,-2.78,0.165755396,4.903163939,6.482,2.117,0.171,0.994,1,0,0.275
0.1,0.083,3455,-2.676,0.129496403,5.133571984,6.531,2.459,0.00009,0.763,1,-2,0.25
0.1,0.083,3336,-2.688,0.136978417,5.084783106,6.522,2.384,0.00092,0.877,1,-1.5,0.25
0.1,0.083,3283,-2.699,0.13971223,5.067618543,6.519,2.358,0.00181,0.904,1,-1.3,0.25
0.1,0.083,3203,-2.705,0.145755396,5.030838112,6.511,2.303,0.00747,0.947,1,-1,0.25
0.1,0.085,3479,-2.654,0.130935252,5.134315051,6.542,2.455,0.00003,0.674,1,-2,0.25
0.1,0.085,3354,-2.672,0.137985612,5.088760622,6.532,2.385,0.0003,0.813,1,-1.5,0.25
0.1,0.085,3304,-2.677,0.141438849,5.0672908,6.528,2.354,0.00082,0.862,1,-1.3,0.25
0.1,0.085,3218,-2.69,0.14676259,5.035197493,6.521,2.304,0.00318,0.917,1,-1,0.25
0.1,0.09,3532,-2.605,0.134388489,5.136527667,6.566,2.449,0,0.415,1,-2,0.25
0.1,0.09,3399,-2.625,0.141726619,5.090348959,6.555,2.378,0.00003,0.616,1,-1.5,0.25
0.1,0.09,3347,-2.631,0.145323741,5.068578672,6.55,2.345,0.00009,0.703,1,-1.3,0.25
0.1,0.09,3258,-2.644,0.151079137,5.034842822,6.542,2.294,0.0005,0.813,1,-1,0.25
0.1,0.09,3102,-2.666,0.162446043,4.971833536,6.525,2.198,0.00708,0.934,1,-0.5,0.25
0.1,0.09,2946,-2.694,0.174532374,4.909499818,6.522,2.106,0.0205,0.961,1,0,0.275
0.1,0.1,3623,-2.52,0.140863309,5.141413527,6.608,2.437,0,0.0809,1,-2,0.25
0.1,0.1,3475,-2.545,0.148920863,5.093098211,6.595,2.363,0,0.214,1,-1.5,0.25
0.1,0.1,3419,-2.551,0.152661871,5.071548143,6.589,2.33,0,0.303,1,-1.3,0.25
0.1,0.1,3327,-2.564,0.158848921,5.037040764,6.579,2.277,0,0.464,1,-1,0.25
0.1,0.1,3160,-2.593,0.170359712,4.976275506,6.562,2.186,0.00026,0.731,1,-0.5,0.25
0.1,0.1,3006,-2.614,0.183884892,4.909917203,6.555,2.087,0.0018,0.852,1,0,0.275
0.1,0.11,3696,-2.441,0.148345324,5.137854265,6.642,2.414,0,0.0105,0.99667,-2,0.25
0.1,0.11,3542,-2.47,0.156115108,5.093512119,6.629,2.346,0,0.0445,0.99667,-1.5,0.25
0.1,0.11,3479,-2.48,0.160143885,5.071381267,6.622,2.312,0,0.0815,1,-1.3,0.25
0.1,0.11,3381,-2.499,0.165899281,5.040712981,6.612,2.266,0,0.159,1,-1,0.25
0.1,0.11,3211,-2.522,0.178992806,4.974730835,6.591,2.167,0.00001,0.443,1,-0.5,0.25
0.1,0.11,3051,-2.55,0.191942446,4.914059936,6.585,2.075,0.00009,0.61,1,0,0.275
0.1,0.15,3873,-2.207,0.176834532,5.119966404,6.736,2.326,0,0,0.72333,-2,0.25
0.1,0.15,3722,-2.239,0.184460432,5.083294119,6.723,2.271,0,0.00001,0.86,-1.5,0.25
0.1,0.15,3658,-2.251,0.188345324,5.065190876,6.716,2.243,0,0.00004,0.90667,-1.3,0.25
0.1,0.15,3549,-2.273,0.195107914,5.03455079,6.704,2.197,0,0.00025,0.95333,-1,0.25
0.1,0.15,3353,-2.31,0.209640288,4.972151066,6.681,2.103,0,0.00543,0.99,-0.5,0.25
0.1,0.15,3199,-2.328,0.225467626,4.908932176,6.669,2.009,0,0.0264,0.99667,0,0.275
0.1,0.2,4002,-1.997,0.210935252,5.091740965,6.806,2.227,0,0,0.118,-2,0.25
0.1,0.2,3848,-2.033,0.218992806,5.059179601,6.793,2.178,0,0,0.24867,-1.5,0.25
0.1,0.2,3785,-2.048,0.222302158,5.046151938,6.787,2.158,0,0,0.31667,-1.3,0.25
0.1,0.2,3682,-2.069,0.229208633,5.019577354,6.776,2.118,0,0,0.46667,-1,0.25
0.1,0.2,3467,-2.115,0.245323741,4.960560139,6.752,2.03,0,0,0.77333,-0.5,0.25
0.1,0.2,3299,-2.137,0.264028777,4.896736769,6.738,1.934,0,0.00009,0.91,0,0.275
0.1,0.3,4162,-1.702,0.273956835,5.040766277,6.887,2.069,0,0,0.00843,-2,0.25
0.1,0.3,4001,-1.745,0.282014388,5.015588022,6.875,2.032,0,0,0.16833,-1.5,0.25
0.1,0.3,3940,-1.758,0.28647482,5.001957645,6.868,2.013,0,0,0.45667,-1.3,0.25
0.1,0.3,3837,-1.782,0.29381295,4.97998869,6.855,1.99,0,0,0.75667,-1,0.25
0.1,0.3,3640,-1.827,0.309928058,4.933608767,6.831,1.928,0,0,0.9,-0.5,0.25
0.1,0.3,3424,-1.873,0.332374101,4.872876205,6.818,1.831,0,0,0.79333,0,0.275
0.1,0.35,4231,-1.587,0.302733813,5.020955484,6.911,2.036,0,0,0.92333,-2,0.25
0.1,0.35,4068,-1.62,0.314820144,4.986952319,6.893,2.022,0,0.00009,0.99667,-1.5,0.25
0.1,0.35,4005,-1.639,0.318129496,4.97786947,6.888,2.016,0,0.00024,0.99667,-1.3,0.25
0.1,0.35,3904,-1.659,0.32705036,4.953848083,6.874,1.993,0,0.00074,0.99667,-1,0.25
0.1,0.35,3703,-1.708,0.343741007,4.910614655,6.85,1.928,0,0.00027,0.99667,-0.5,0.25
0.1,0.35,3471,-1.767,0.365467626,4.857379521,6.836,1.821,0,0,0.97667,0,0.275
0.1,0.4,4315,-1.456,0.337985612,4.983272868,6.935,2.033,0,0.0829,1,-2,0.25
0.1,0.4,4157,-1.485,0.352661871,4.946352279,6.922,2.032,0,0.497,1,-1.5,0.25
0.1,0.4,4093,-1.498,0.358273381,4.932640207,6.916,2.026,0,0.551,1,-1.3,0.25
0.1,0.4,3984,-1.524,0.36676259,4.912299231,6.904,2.012,0,0.515,1,-1,0.25
0.1,0.4,3777,-1.582,0.382158273,4.87658276,6.874,1.947,0,0.162,1,-0.5,0.25
0.1,0.4,3525,-1.66,0.400863309,4.835076677,6.853,1.827,0,0.00016,0.99667,0,0.275
0.1,0.5,4589,-1.148,0.426330935,4.878485612,6.979,1.996,0.06,0.993,1,-2,0.25
0.1,0.5,4435,-1.178,0.441007194,4.849087957,6.976,1.995,0.255,0.997,1,-1.5,0.25
0.1,0.5,4373,-1.19,0.447482014,4.836428137,6.976,2.001,0.22,0.997,1,-1.3,0.25
0.1,0.5,4261,-1.216,0.457410072,4.817367859,6.973,2.002,0.0852,0.994,1,-1,0.25
0.1,0.5,4033,-1.269,0.48028777,4.77497625,6.95,1.997,0.00011,0.959,1,-0.5,0.25
0.1,0.5,3658,-1.429,0.485467626,4.765658758,6.898,1.875,0,0.3,1,0,0.275
0.1,0.6,5093,-0.799,0.517410072,4.789490795,7.017,1.958,0.877,1,1,-2,0.25
0.1,0.6,4977,-0.821,0.527913669,4.772034737,7.016,1.957,0.922,1,1,-1.5,0.25
0.1,0.6,4897,-0.841,0.53323741,4.763319331,7.015,1.959,0.899,1,1,-1.3,0.25
0.1,0.6,4728,-0.886,0.543165468,4.747296249,7.011,1.955,0.813,1,1,-1,0.25
0.1,0.6,4357,-1.008,0.555683453,4.727505622,7.002,1.941,0.254,0.997,1,-0.5,0.25
0.1,0.6,3987,-1.119,0.583884892,4.684506075,6.979,1.935,0,0.864,1,0,0.275
0.1,0.7,5596,-0.489,0.612086331,4.710481979,7.059,1.95,0.989,1,1,-2,0.25
0.1,0.7,5497,-0.51,0.619136691,4.700534258,7.057,1.948,0.992,1,1,-1.5,0.25
0.1,0.7,5409,-0.531,0.624604317,4.692897379,7.054,1.943,0.986,1,1,-1.3,0.25
0.1,0.7,5236,-0.575,0.633381295,4.680776874,7.05,1.939,0.967,1,1,-1,0.25
0.1,0.7,4804,-0.704,0.648776978,4.65991648,7.038,1.921,0.771,1,1,-0.5,0.25
0.1,0.7,4246,-0.91,0.654820144,4.651863279,7.027,1.88,0.00205,0.974,1,0,0.275
0.1,0.8,6045,-0.216,0.718129496,4.629693758,7.099,1.956,0.999,1,1,-2,0.25
0.1,0.8,5933,-0.238,0.727194245,4.618798422,7.096,1.951,0.999,1,1,-1.5,0.25
0.1,0.8,5843,-0.258,0.732805755,4.612121545,7.094,1.951,0.998,1,1,-1.3,0.25
0.1,0.8,5662,-0.303,0.741007194,4.602454439,7.089,1.944,0.994,1,1,-1,0.25
0.1,0.8,5217,-0.432,0.752230216,4.58939774,7.075,1.923,0.942,1,1,-0.5,0.25
0.1,0.8,4647,-0.647,0.739568345,4.604142659,7.059,1.876,0.00173,0.97,1,0,0.275
1,0.075,2211,-3.695,0.097841727,5.333022348,6.51,2.789,0,0.0318,1,0,0.275
1,0.08,2352,-3.608,0.095539568,5.381732739,6.508,2.849,0,0.00772,1,-0.5,0.25
1,0.08,2374,-3.536,0.101870504,5.326002382,6.554,2.765,0,0.0012,0.99333,0,0.275
1,0.083,2519,-3.578,0.08618705,5.487203358,6.48,3,0,0.00045,0.99667,-2,0.25
1,0.083,2538,-3.533,0.089496403,5.454476233,6.502,2.952,0,0.00044,0.99667,-1.5,0.25
1,0.083,2541,-3.516,0.090935252,5.440622846,6.51,2.93,0,0.00049,0.99667,-1.3,0.25
1,0.083,2527,-3.504,0.093381295,5.417567609,6.521,2.897,0,0.00054,0.99667,-1,0.25
1,0.085,2667,-3.461,0.087913669,5.480315416,6.509,2.984,0,0.00004,0.99333,-2,0.25
1,0.085,2669,-3.427,0.091366906,5.446850385,6.528,2.935,0,0.00005,0.99333,-1.5,0.25
1,0.085,2662,-3.417,0.09294964,5.4319328,6.534,2.913,0,0.00006,0.99333,-1.3,0.25
1,0.085,2636,-3.411,0.095539568,5.408061677,6.543,2.878,0,0.00008,0.99333,-1,0.25
1,0.09,3022,-3.186,0.094100719,5.446065923,6.574,2.924,0,0,0.95,-2,0.25
1,0.09,2948,-3.196,0.097697842,5.413481871,6.583,2.874,0,0,0.94667,-1.5,0.25
1,0.09,2913,-3.204,0.099280576,5.399523238,6.585,2.854,0,0,0.94667,-1.3,0.25
1,0.09,2848,-3.222,0.101582734,5.379612018,6.589,2.822,0,0,0.94667,-1,0.25
1,0.09,2725,-3.261,0.10618705,5.341108696,6.594,2.764,0,0,0.95333,-0.5,0.25
1,0.09,2645,-3.261,0.112805755,5.288589294,6.617,2.686,0,0,0.90333,0,0.275
1,0.1,3387,-2.866,0.108345324,5.369388958,6.649,2.788,0,0,0.43333,-2,0.25
1,0.1,3249,-2.915,0.111223022,5.346619922,6.648,2.753,0,0,0.51,-1.5,0.25
1,0.1,3194,-2.936,0.112374101,5.337676843,6.647,2.738,0,0,0.53,-1.3,0.25
1,0.1,3103,-2.97,0.114388489,5.322244653,6.646,2.715,0,0,0.59,-1,0.25
1,0.1,2940,-3.035,0.118273381,5.293235275,6.644,2.671,0,0,0.67,-0.5,0.25
1,0.1,2811,-3.07,0.124172662,5.250957319,6.658,2.607,0,0,0.59333,0,0.275
1,0.11,3556,-2.692,0.12,5.322039494,6.689,2.696,0,0,0.09867,-2,0.25
1,0.11,3399,-2.75,0.122877698,5.301455854,6.685,2.665,0,0,0.13833,-1.5,0.25
1,0.11,3338,-2.773,0.124028777,5.293357064,6.684,2.653,0,0,0.16467,-1.3,0.25
1,0.11,3240,-2.812,0.125899281,5.280355489,6.681,2.632,0,0,0.208,-1,0.25
1,0.11,3068,-2.882,0.129496403,5.255886577,6.677,2.595,0,0,0.29133,-0.5,0.25
1,0.11,2919,-2.932,0.135107914,5.219040411,6.687,2.539,0,0,0.26533,0,0.275
1,0.15,3845,-2.317,0.157985612,5.217865489,6.773,2.475,0,0,0.00013,-2,0.25
1,0.15,3685,-2.375,0.161007194,5.201409996,6.767,2.451,0,0,0.00036,-1.5,0.25
1,0.15,3618,-2.4,0.162158273,5.195222337,6.765,2.441,0,0,0.00056,-1.3,0.25
1,0.15,3500,-2.445,0.164460432,5.182977709,6.761,2.422,0,0,0.00111,-1,0.25
1,0.15,3311,-2.521,0.168633094,5.161214946,6.754,2.39,0,0,0.0032,-0.5,0.25
1,0.15,3149,-2.581,0.173956835,5.134217568,6.759,2.349,0,0,0.00293,0,0.275
1,0.2,3995,-2.054,0.198129496,5.146141025,6.829,2.309,0,0,0,-2,0.25
1,0.2,3836,-2.111,0.201438849,5.131752835,6.824,2.288,0,0,0,-1.5,0.25
1,0.2,3772,-2.134,0.202733813,5.12618692,6.821,2.279,0,0,0,-1.3,0.25
1,0.2,3666,-2.173,0.205179856,5.115769855,6.817,2.263,0,0,0,-1,0.25
1,0.2,3451,-2.257,0.210359712,5.094114161,6.809,2.23,0,0,0,-0.5,0.25
1,0.2,3290,-2.316,0.216115108,5.070669041,6.813,2.196,0,0,0,0,0.275
1,0.3,4161,-1.717,0.269352518,5.055488476,6.894,2.092,0,0,0,-2,0.25
1,0.3,3999,-1.775,0.272805755,5.044423499,6.889,2.075,0,0,0,-1.5,0.25
1,0.3,3936,-1.798,0.274244604,5.039854372,6.887,2.068,0,0,0,-1.3,0.25
1,0.3,3834,-1.836,0.276690647,5.032141597,6.884,2.057,0,0,0,-1,0.25
1,0.3,3640,-1.909,0.282014388,5.015588022,6.877,2.032,0,0,0,-0.5,0.25
1,0.3,3437,-1.984,0.290071942,4.991119109,6.879,1.996,0,0,0,0,0.275
1,0.35,4226,-1.589,0.302733813,5.020955484,6.915,2.009,0,0,0,-2,0.25
1,0.35,4058,-1.642,0.308633094,5.004192362,6.907,1.989,0,0,0.01817,-1.5,0.25
1,0.35,3991,-1.646,0.317697842,4.979048817,6.897,1.949,0,0,0.045,-1.3,0.25
1,0.35,3891,-1.683,0.32028777,4.971996635,6.894,1.942,0,0,0.16667,-1,0.25
1,0.35,3696,-1.759,0.325179856,4.958830076,6.888,1.923,0,0,0.19033,-0.5,0.25
1,0.35,3478,-1.857,0.328345324,4.950415675,6.897,1.907,0,0,0.00847,0,0.275
1,0.4,4289,-1.444,0.346906475,4.960644481,6.921,1.939,0,0,0.92333,-2,0.25
1,0.4,4122,-1.495,0.354388489,4.942110078,6.915,1.937,0,0.00088,0.99,-1.5,0.25
1,0.4,4055,-1.516,0.357266187,4.935085463,6.913,1.934,0,0.00262,0.99667,-1.3,0.25
1,0.4,3950,-1.553,0.361007194,4.926037579,6.909,1.928,0,0.00496,0.99667,-1,0.25
1,0.4,3754,-1.63,0.365611511,4.915029572,6.903,1.905,0,0.00027,0.99,-0.5,0.25
1,0.4,3522,-1.727,0.371366906,4.901462893,6.905,1.852,0,0,0.82667,0,0.275
1,0.5,4560,-1.136,0.437697842,4.855630495,6.963,1.941,0.00305,0.984,1,-2,0.25
1,0.5,4396,-1.169,0.45323741,4.825327807,6.958,1.937,0.111,0.996,1,-1.5,0.25
1,0.5,4318,-1.19,0.458705036,4.814912289,6.956,1.934,0.111,0.996,1,-1.3,0.25
1,0.5,4190,-1.231,0.464748201,4.80354387,6.951,1.927,0.03,0.992,1,-1,0.25
1,0.5,3947,-1.333,0.465755396,4.801663516,6.941,1.901,0,0.937,1,-0.5,0.25
1,0.5,3649,-1.478,0.461151079,4.810292847,6.935,1.848,0,0.0922,1,0,0.275
1,0.6,5094,-0.784,0.525899281,4.775355398,7.012,1.951,0.871,1,1,-2,0.25
1,0.6,4970,-0.807,0.537841727,4.755851567,7.009,1.946,0.917,1,1,-1.5,0.25
1,0.6,4884,-0.827,0.544316547,4.745457478,7.007,1.946,0.893,1,1,-1.3,0.25
1,0.6,4711,-0.873,0.555251799,4.728180604,7.002,1.938,0.802,1,1,-1,0.25
1,0.6,4321,-1,0.569784173,4.705739789,6.986,1.914,0.22,0.997,1,-0.5,0.25
1,0.6,3883,-1.195,0.563884892,4.714779634,6.969,1.86,0,0.842,1,0,0.275
1,0.7,5591,-0.473,0.624460432,4.693097491,7.057,1.946,0.989,1,1,-2,0.25
1,0.7,5494,-0.494,0.631366906,4.683543713,7.055,1.947,0.992,1,1,-1.5,0.25
1,0.7,5406,-0.515,0.636402878,4.676643072,7.052,1.943,0.986,1,1,-1.3,0.25
1,0.7,5236,-0.559,0.645035971,4.664939473,7.048,1.943,0.967,1,1,-1,0.25
1,0.7,4806,-0.687,0.660863309,4.64388406,7.032,1.929,0.765,1,1,-0.5,0.25
1,0.7,4209,-0.909,0.667194245,4.635602759,7.009,1.876,0.00105,0.973,1,0,0.275
1,0.8,6121,-0.18,0.730647482,4.614683504,7.111,2.007,0.999,1,1,-2,0.25
1,0.8,6021,-0.198,0.739280576,4.604480697,7.109,2.015,0.999,1,1,-1.5,0.25
1,0.8,5914,-0.221,0.746330935,4.596236401,7.105,2.005,0.998,1,1,-1.3,0.25
1,0.8,5719,-0.269,0.754964029,4.586246769,7.097,1.99,0.994,1,1,-1,0.25
1,0.8,5225,-0.412,0.767482014,4.571962875,7.076,1.941,0.941,1,1,-0.5,0.25
1,0.8,4647,-0.632,0.75323741,4.588235525,7.051,1.897,0.00157,0.97,1,0,0.275
10,0.075,2002,-3.929,0.091223022,5.393861658,6.492,2.882,0,0,0.99667,0,0.275
10,0.08,2128,-3.835,0.089928058,5.434308863,6.485,2.928,0,0,0.99333,-0.5,0.25
10,0.08,2314,-3.605,0.099136691,5.349630454,6.552,2.803,0,0,0.91667,0,0.275
10,0.083,1779,-4.274,0.077553957,5.578879472,6.371,3.135,0,0,0.99667,-2,0.25
10,0.083,2194,-3.844,0.083741007,5.512211033,6.459,3.039,0,0,0.99667,-1.5,0.25
10,0.083,2283,-3.751,0.085899281,5.49010834,6.48,3.003,0,0,0.99333,-1.3,0.25
10,0.083,2359,-3.66,0.089496403,5.454476233,6.504,2.952,0,0,0.98333,-1,0.25
10,0.085,2342,-3.741,0.082733813,5.533062147,6.468,3.063,0,0,0.99,-2,0.25
10,0.085,2519,-3.559,0.088201439,5.477476887,6.512,2.982,0,0,0.97333,-1.5,0.25
10,0.085,2542,-3.524,0.090071942,5.45924917,6.523,2.954,0,0,0.96,-1.3,0.25
10,0.085,2550,-3.492,0.09294964,5.4319328,6.536,2.914,0,0,0.93667,-1,0.25
10,0.09,3005,-3.202,0.093381295,5.452732026,6.574,2.934,0,0,0.60333,-2,0.25
10,0.09,2938,-3.207,0.097122302,5.418613874,6.583,2.882,0,0,0.51333,-1.5,0.25
10,0.09,2903,-3.214,0.098705036,5.404573188,6.586,2.862,0,0,0.49333,-1.3,0.25
10,0.09,2840,-3.231,0.101151079,5.38331077,6.59,2.829,0,0,0.47,-1,0.25
10,0.09,2716,-3.271,0.105611511,5.3458293,6.595,2.772,0,0,0.45333,-0.5,0.25
10,0.09,2642,-3.265,0.112374101,5.291919352,6.619,2.691,0,0,0.162,0,0.275
10,0.1,3395,-2.86,0.108489209,5.368236219,6.652,2.785,0,0,0.00006,-2,0.25
10,0.1,3255,-2.91,0.111366906,5.345496989,6.65,2.75,0,0,0.00022,-1.5,0.25
