mass,age,temperature,luminosity,radius,gravity,metallicity,chemistry,eos
0.001,0.001,886.804272,-4.82820564,0.16355572,3.01108287,0,ceq,C2019
0.001,0.00126638,848.4620883,-4.92893058,0.15910834,3.03502836,0,ceq,C2019
0.001,0.001603719,807.2276999,-5.03860178,0.15492791,3.0581551,0,ceq,C2019
0.001,0.002030918,761.1321343,-5.16249961,0.15109809,3.07989712,0,ceq,C2019
0.001,0.002571914,714.9618928,-5.29119628,0.14766363,3.09986876,0,ceq,C2019
0.001,0.003257021,672.0051829,-5.41725214,0.14456603,3.11828273,0,ceq,C2019
0.001,0.004124626,630.4605203,-5.54518572,0.14175191,3.13535728,0,ceq,C2019
0.001,0.005223345,591.9376417,-5.67046455,0.13920137,3.15112792,0,ceq,C2019
0.001,0.006614741,560.0481466,-5.78176586,0.13679976,3.16624365,0,ceq,C2019
0.001,0.008376776,527.5702583,-5.89999193,0.13454821,3.18065875,0,ceq,C2019
0.001,0.010608184,495.7367014,-6.02168627,0.13245848,3.19425517,0,ceq,C2019
0.001,0.013433993,466.1449553,-6.14158168,0.13049606,3.20721964,0,ceq,C2019
0.001,0.017012543,439.2771973,-6.25703768,0.12865632,3.21955245,0,ceq,C2019
0.001,0.021544347,415.3549714,-6.36636757,0.12688336,3.2316053,0,ceq,C2019
0.001,0.027283334,394.4167508,-6.46797545,0.1251797,3.24334675,0,ceq,C2019
0.001,0.034551073,377.1600598,-6.55763619,0.12346811,3.25530486,0,ceq,C2019
0.001,0.043754794,359.291279,-6.65397622,0.12177326,3.26731065,0,ceq,C2019
0.001,0.055410203,343.559269,-6.74363309,0.12011552,3.27921637,0,ceq,C2019
0.001,0.070170383,329.6443619,-6.82767526,0.11843948,3.29142146,0,ceq,C2019
0.001,0.088862382,314.8109632,-6.92009246,0.11675748,3.30384507,0,ceq,C2019
0.001,0.112533558,299.4304168,-7.01947217,0.11510428,3.31623127,0,ceq,C2019
0.001,0.142510267,285.9129127,-7.11179376,0.11351637,3.32829748,0,ceq,C2019
0.001,0.180472177,271.1628055,-7.21588486,0.11195241,3.34034769,0,ceq,C2019
