mass,age,temperature,luminosity,radius,gravity,metallicity,enrichment
0.06,0.55328,1941.117,-3.887803,0.10061158713631287,5.210922877686777,-0.15,-0.05
0.06,0.58407,1890.397,-3.939549,0.09994774497608476,5.216672877686777,-0.15,-0.05
0.06,0.6115,1866.904,-3.966051,0.0993994542678938,5.2214508776867765,-0.15,-0.05
0.06,0.64441,1839.877,-3.99668,0.09879523531740254,5.226746877686777,-0.15,-0.05
0.06,0.68391,1809.337,-4.031564,0.09813682426912565,5.232554877686777,-0.15,-0.05
0.06,0.7313,1777.74,-4.068503,0.09742378538420392,5.238888877686777,-0.15,-0.05
0.06,0.78818,1742.334,-4.110279,0.09666093683660285,5.245716877686776,-0.15,-0.05
0.06,0.85642,1703.362,-4.156846,0.09585527114220856,5.2529868776867765,-0.15,-0.05
0.06,0.93832,1553.492,-4.322605,0.09522105742863854,5.258752877686777,-0.15,-0.05
0.06,1.0172,1504.9,-4.382576,0.09470000457843732,5.263518877686777,-0.15,-0.05
0.06,1.0804,1490.589,-4.402791,0.09430658095995531,5.267134877686777,-0.15,-0.05
0.06,1.1561,1477.823,-4.421861,0.09385923280157088,5.271264877686777,-0.15,-0.05
0.06,1.247,1463.114,-4.44392,0.09335487461859758,5.275944877686777,-0.15,-0.05
0.06,1.3561,1445.444,-4.470277,0.09279231292366899,5.281194877686777,-0.15,-0.05
0.06,1.4871,1424.578,-4.501357,0.09217263433557772,5.287014877686777,-0.15,-0.05
0.06,1.6441,1401.539,-4.536076,0.09149660925971707,5.293408877686777,-0.15,-0.05
0.06,1.8327,1383.467,-4.565746,0.09074924070498513,5.300532877686777,-0.15,-0.05
0.06,2.0589,1363.04,-4.599446,0.0899317407811429,5.308392877686777,-0.15,-0.05
0.06,2.3303,1340.179,-4.637416,0.08904714503752657,5.316978877686777,-0.15,-0.05
0.06,2.6561,1314.127,-4.680781,0.08810245290643252,5.326242877686777,-0.15,-0.05
0.06,3.047,1288.703,-4.724665,0.08709936724922664,5.3361888776867765,-0.15,-0.05
0.06,3.5161,1264.041,-4.768882,0.0860379392948449,5.346838877686777,-0.15,-0.05
0.06,4.079,1238.248,-4.816026,0.08492293592008766,5.358168877686777,-0.15,-0.05
0.06,4.7545,1211.368,-4.866132,0.08375967817321578,5.370148877686777,-0.15,-0.05
0.06,5.5651,1178.284,-4.926585,0.08257717093186917,5.382498877686777,-0.15,-0.05
0.06,6.3929,1142.025,-4.991536,0.08157066445877649,5.393150877686777,-0.15,-0.05
0.06,7.1215,1110.54,-5.048168,0.08081667899831979,5.401216877686777,-0.15,-0.05
0.06,7.2875,1102.485,-5.062563,0.08065401654611822,5.402966877686777,-0.15,-0.05
0.06,7.2875,1102.485,-5.062563,0.08065401654611822,5.402966877686777,-0.15,-0.05
0.06265430301504897,0.0011504,2962.268,-1.616173,0.5906333966788555,3.692382530430865,-0.15,-0.05
0.06265430301504897,0.0013183,2967.135,-1.647657,0.5677406622266146,3.726718530430865,-0.15,-0.05
0.06265430301504897,0.001505,2971.558,-1.679292,0.5458068727945815,3.760940530430865,-0.15,-0.05
0.06265430301504897,0.0017123,2975.628,-1.711014,0.5247941678659297,3.795040530430865,-0.15,-0.05
0.06265430301504897,0.0019427,2979.322,-1.74283,0.5046647836523112,3.829012530430865,-0.15,-0.05
0.06265430301504897,0.0021987,2982.668,-1.774724,0.48538013709435857,3.862854530430865,-0.15,-0.05
0.06265430301504897,0.0024832,2985.687,-1.806672,0.46690551095151156,3.896560530430865,-0.15,-0.05
0.06265430301504897,0.0027992,2988.37,-1.838662,0.4492147418126452,3.930110530430865,-0.15,-0.05
0.06265430301504897,0.0031505,2990.742,-1.870676,0.4322728903946237,3.963502530430865,-0.15,-0.05
0.06265430301504897,0.003541,2992.794,-1.902714,0.4160475797914612,3.996732530430865,-0.15,-0.05
0.06265430301504897,0.0039756,3000.381,-1.931653,0.40038149788884947,4.030070530430865,-0.15,-0.05
0.06265430301504897,0.0044582,3006.833,-1.961199,0.3853319320242214,4.063348530430865,-0.15,-0.05
0.06265430301504897,0.0049923,3012.092,-1.99122,0.3709428462573213,4.096404530430865,-0.15,-0.05
0.06265430301504897,0.0055841,3016.327,-2.021603,0.35718647022631594,4.129228530430865,-0.15,-0.05
0.06265430301504897,0.0062408,3019.577,-2.05233,0.344029750122539,4.161826530430865,-0.15,-0.05
0.06265430301504897,0.0069708,3021.94,-2.083366,0.33143471869245944,4.194222530430865,-0.15,-0.05
0.06265430301504897,0.0077837,3023.454,-2.114711,0.31936770688725025,4.226436530430865,-0.15,-0.05
0.06265430301504897,0.0086897,3024.178,-2.146343,0.30779885504283744,4.258484530430865,-0.15,-0.05
0.06265430301504897,0.0097005,3024.136,-2.17827,0.2966982604200061,4.290388530430865,-0.15,-0.05
0.06265430301504897,0.010829,3023.265,-2.210547,0.28604015190097865,4.322164530430865,-0.15,-0.05
0.06265430301504897,0.012092,3021.497,-2.243234,0.27579856361564115,4.353834530430865,-0.15,-0.05
0.06265430301504897,0.013506,3018.843,-2.27636,0.26594510433716867,4.3854345304308655,-0.15,-0.05
0.06265430301504897,0.01509,3015.511,-2.309833,0.2564572612188062,4.416988530430865,-0.15,-0.05
0.06265430301504897,0.016867,3010.982,-2.343977,0.24731360041748066,4.448522530430865,-0.15,-0.05
0.06265430301504897,0.018862,3006.572,-2.377998,0.2385124206165911,4.479996530430865,-0.15,-0.05
0.06265430301504897,0.021103,2991.763,-2.418244,0.2299730790966857,4.511664530430865,-0.15,-0.05
0.06265430301504897,0.023637,2971.615,-2.461733,0.2217185348267584,4.543414530430865,-0.15,-0.05
0.06265430301504897,0.026491,2955.507,-2.502389,0.21389222587752194,4.574628530430865,-0.15,-0.05
0.06265430301504897,0.029722,2942.476,-2.541269,0.20634454870734292,4.605832530430865,-0.15,-0.05
0.06265430301504897,0.033432,2928.154,-2.581299,0.19898301177909583,4.637386530430865,-0.15,-0.05
0.06265430301504897,0.037671,2914.3,-2.621186,0.1918633397811485,4.669034530430865,-0.15,-0.05
0.06265430301504897,0.042493,2900.555,-2.660433,0.185128805943212,4.700070530430865,-0.15,-0.05
